time,ax,ay,az,atotal
5.307,-0.02,0.15,-0.15,0.21
5.317,0.07,0.14,-0.13,0.20
5.327,0.11,0.08,-0.07,0.15
5.337,0.08,0.04,-0.05,0.11
5.347,0.04,0.04,-0.06,0.09
5.357,-0.03,0.01,-0.06,0.07
5.367,-0.16,-0.03,-0.07,0.18
5.377,-0.24,-0.01,-0.04,0.24
5.387,-0.28,0.03,-0.05,0.29
5.398,-0.23,0.05,-0.03,0.24
5.408,-0.11,0.09,-0.01,0.14
5.418,-0.00,0.06,-0.02,0.06
5.428,0.02,-0.01,-0.02,0.03
5.438,-0.00,-0.06,-0.04,0.07
5.448,-0.04,-0.07,-0.08,0.11
5.458,-0.04,-0.08,-0.12,0.15
5.468,-0.03,-0.01,-0.14,0.15
5.478,-0.04,0.08,-0.14,0.17
5.488,-0.07,0.13,-0.11,0.19
5.498,-0.03,0.17,-0.09,0.20
5.508,0.06,0.17,-0.01,0.18
5.518,0.13,0.12,0.03,0.17
5.529,0.12,0.02,0.03,0.12
5.539,0.07,-0.03,-0.01,0.08
5.549,0.01,-0.04,-0.07,0.09
5.559,-0.04,-0.04,-0.13,0.15
5.569,-0.12,-0.02,-0.14,0.18
5.579,-0.17,0.01,-0.13,0.21
5.589,-0.16,0.03,-0.11,0.19
5.599,-0.09,0.09,-0.06,0.15
5.609,0.02,0.12,-0.06,0.13
5.619,0.11,0.14,-0.05,0.19
5.629,0.17,0.14,-0.04,0.22
5.639,0.16,0.11,0.00,0.19
5.649,0.11,0.05,0.04,0.12
5.660,0.05,-0.01,0.09,0.10
5.670,0.01,-0.04,0.11,0.11
5.680,0.02,-0.06,0.08,0.11
5.690,0.12,-0.07,0.04,0.14
5.700,0.23,-0.04,-0.02,0.23
5.710,0.30,0.03,-0.02,0.31
5.720,0.22,0.11,-0.07,0.25
5.730,0.03,0.17,-0.09,0.19
5.740,-0.18,0.13,-0.09,0.24
5.750,-0.29,0.14,-0.08,0.33
5.760,-0.38,0.08,-0.04,0.39
5.770,-0.41,-0.01,0.02,0.41
5.780,-0.35,-0.06,0.10,0.37
5.790,-0.25,-0.03,0.18,0.31
5.800,-0.10,0.07,0.24,0.27
5.811,0.09,0.15,0.26,0.31
5.821,0.23,0.13,0.25,0.36
5.831,0.30,0.14,0.23,0.41
5.841,0.34,0.16,0.17,0.41
5.851,0.29,0.14,0.11,0.34
5.861,0.14,0.13,0.05,0.20
5.871,0.01,0.05,0.02,0.05
5.881,-0.12,0.03,0.02,0.12
5.891,-0.21,0.04,0.00,0.22
5.901,-0.32,0.01,-0.03,0.32
5.911,-0.42,-0.05,-0.09,0.44
5.921,-0.50,-0.13,-0.13,0.53
5.931,-0.50,-0.21,-0.20,0.58
5.941,-0.45,-0.26,-0.25,0.58
5.951,-0.40,-0.25,-0.30,0.56
5.962,-0.29,-0.14,-0.27,0.43
5.972,-0.16,-0.05,-0.21,0.27
5.982,-0.08,-0.02,-0.10,0.13
